Rk,School,Conf,G,W,L,SRS,SOS,Tm_Pts,Opp_Pts,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,ORtg,DRtg,AdjT,Luck,NetRtg,NetRtgNorm,LastFive,LastFiveNorm,OverEightScorers,OverEightScorersNorm,Experience,ExperienceNorm,,,,
3,Akron,MAC,34,28,6,3.54,-4.52,2876,2534,72.4,0.259,0.461,0.583,53,59.2,10.6,9.8,0.557,14.2,33.5,0.195,113.7,107.1,71.4,0.071,-4.38,0.16509269,5,1,4,0.333333333,2.625,0.38752884,,,,
4,Alabama,SEC,33,25,8,25.96,16.26,3007,2687,76.2,0.401,0.462,0.594,54,54.1,7.9,10.1,0.563,14.3,34.7,0.287,126.5,96.6,74.9,0.029,19.49,1,2,0.25,5,0.666666667,2.71429,0.448298861,,,,
6,Alabama State,SWAC,34,19,15,-9.23,-8.93,2497,2456,69.5,0.297,0.428,0.507,47.8,45.8,11.2,8.2,0.476,11.2,28.9,0.206,101.4,110.6,67.7,0.049,-8.7,0.013990906,5,1,3,0,2.9333,0.597355221,,,,
9,American,PL,34,22,12,-7.01,-6.54,2334,2287,64.4,0.304,0.449,0.555,48.4,52.4,10.1,5.3,0.521,15.2,24.4,0.23,102.1,108,63.5,0.133,-7.09,0.070304302,4,0.75,4,0.333333333,2.70588,0.442575086,,,,
11,Arizona,B12,34,22,12,23.12,13.82,2779,2463,70.2,0.366,0.346,0.573,54.7,56.7,10.9,12,0.529,13.8,35.9,0.287,122.5,96.8,69.9,-0.049,16.38,0.891220707,3,0.5,6,1,2.6,0.370514051,,,,
13,Arkansas,SEC,33,20,13,16.64,11.18,2528,2348,70.4,0.355,0.367,0.563,50.6,53.2,10.8,15.4,0.527,14.6,27.6,0.261,112.9,95.2,69.3,-0.008,13.85,0.802728227,3,0.5,5,0.666666667,2.3333,0.189000279,,,,
17,Auburn,SEC,33,28,5,29.57,15.33,2767,2297,68.9,0.335,0.406,0.588,52.6,55.5,10.1,16.5,0.557,11.5,34.3,0.248,128.4,93.4,67.6,0.03,18.97,0.981811822,2,0.25,6,1,2.11476,0.040263797,,,,
20,Baylor,B12,33,19,14,19.42,13.57,2523,2282,66,0.306,0.399,0.552,52.4,53.9,11.4,8.7,0.518,13.7,36.2,0.228,120.8,99.7,64.5,-0.054,15.67,0.866386849,3,0.5,6,1,2.42857,0.253840238,,,,
30,Brigham Young,B12,33,24,9,19.8,9.71,2672,2339,67.8,0.302,0.483,0.593,54.3,59.9,10.4,9.8,0.572,15.1,33.3,0.213,123,100.6,67.2,0.036,11.12,0.707240294,4,0.75,4,0.333333333,2.5625,0.344991867,,,,
32,Bryant,AE,34,23,11,-1.68,-7.55,2800,2511,73.5,0.299,0.354,0.549,53.4,49.5,9.1,14.5,0.52,13.8,34.9,0.214,106.7,105.5,72.4,-0.003,-6.99,0.073802029,5,1,5,0.666666667,2.47368,0.284541724,,,,
